title,product_price,special_price,stock_status,brand,product_model,warranty,short_description,chipset,memory,storage,battery,operating_system,color
HP PAVILION 15-EG2117TU 15.6 INCH FULL HD IPS DISPLAY INTEL I7 12TH GEN 8GB RAM 512GB SSD LAPTOP,"112,500৳","110,500৳",In Stock,HP,PAVILION 15-EG2117TU,3 Year'S,"['Intel Core i7 processor', '8 GB DDR4-3200 MHz RAM', '512 GB SSD', 'Battery life 7 hours ']","Intel Core I7-1260P
Up To 4.7 GHz
Intel Turbo Boost Technology
18 MB L3 Cache
12 Cores
16 Threads",8 GB DDR4-3200 MHz RAM (2 X 4 GB),512 GB PCIe NVMe M.2 SSD,"Battery Type- 3-Cell, 41 Wh Li-Ion
Battery Life- Up To 7 Hours 4
Battery Recharge Time- Supports Battery Fast Charge: Approximately 50% In 45 Minutes",Windows 11 Home,Natural Silver
ASUS TUF GAMING A15 FA507RM 15.6 INCH FHD 144HZ DISPLAY RYZEN 7 6800H 16GB DDR5 RAM 512GB SSD GAMING LAPTOP WITH RTX 3060 6GB GRAPHICS - JAEGER GRAY,"181,900৳","162,900৳",In Stock,Asus,TUF GAMING A15 FA507RM,2 Years,"['AMD Ryzen 7 6800H Processor ', '16GB 4800MHZ RAM + 512GB SSD', 'RTX 3060 6GB Laptop GPU', '15.6"" FHD 144Hz Display']","Intel Core I7-1260P
Up To 4.7 GHz
Intel Turbo Boost Technology
18 MB L3 Cache
12 Cores
16 Threads","16GB DDR5-4800MHZ SO-DIMM,
Max Capacity:32GB,
Support Dual Channel Memory",512GB M.2 NVMe PCIe 3.0 SSD,"90WHrs, 4S1P, 4-Cell Li-Ion",Windows 11 Home,Jaeger Gray
ASUS ROG STRIX G15 G513RM 15.6 INCH FULL HD 300HZ DISPLAY RYZEN 7 6800H 16GB RAM 512GB SSD GAMING LAPTOP WITH RTX 3060 6GB GRAPHICS,"218,000৳","185,000৳",In Stock,Asus,ROG Strix G15 G513RM,2 Years,"['15.6-inch FHD 300Hz Display', 'Ryzen 7 6800H Processor', '16GB RAM 512GB SSD', 'RTX 3060 6GB Graphics']","Intel Core I7-1260P
Up To 4.7 GHz
Intel Turbo Boost Technology
18 MB L3 Cache
12 Cores
16 Threads",16GB DDR5 4800MHz RAM (8+8) Expandable Ram Slots,512GB M.2 NVMe PCIe 4.0 SSD (Extra M.2 Nvme Slot Available For SSD),"90WHrs, 4S1P, 4-Cell Li-Ion",Windows 11 Home,Eclipse Grey
ASUS TUF GAMING A15 FA507RE 15.6 INCH FHD 300HZ DISPLAY RYZEN 7 6800H 16GB DDR5 RAM 512GB SSD GAMING LAPTOP WITH RTX 3050 TI 4GB GRAPHICS - JAEGER GRAY,"153,900৳","142,900৳",In Stock,Asus,TUF GAMING A15 FA507RE,2 Years,"['AMD Ryzen 7 6800H Processor ', '16GB 4800MHZ RAM + 512GB SSD', 'RTX 3050Ti GPU, 4GB', '15.6"" FHD144Hz Display']","Intel Core I7-1260P
Up To 4.7 GHz
Intel Turbo Boost Technology
18 MB L3 Cache
12 Cores
16 Threads","16GB DDR5-4800MHZ SO-DIMM,
Max Capacity:32GB,
Support Dual Channel Memory",512GB M.2 NVMe PCIe 3.0 SSD (EXTRA M.2 NVME SSD SLOT AVAILABLE),"90WHrs, 4S1P, 4-Cell Li-Ion",Windows 11 Home,JAEGER GRAY / MECHA GRAY
ASUS TUF A15 FA506QM 15.6 INCH FHD 144HZ DISPLAY RYZEN 7 5800H 16GB RAM 512GB SSD GAMING LAPTOP WITH RTX 3060 6GB GRAPHICS - GRAPHITE BLACK,"176,000৳","154,000৳",In Stock,Asus,TUF GAMING A15 FA506QM,2 Years,"['Ryzen 7 5800H Processor ', '16GB DDR4 RAM + 512GB SSD', 'RTX 3060 6GB Laptop GPU', '15.6"" FHD (WV 144Hz Display']","Intel Core I7-1260P
Up To 4.7 GHz
Intel Turbo Boost Technology
18 MB L3 Cache
12 Cores
16 Threads",16GB DDR4 3200MHz SO-DIMM,512GB M.2 NVMe PCIe 3.0 SSD (Extra M.2 NVME PCIE SSD Slot Available),"90WHrs, 4S1P, 4-Cell Li-Ion",Windows 11 Home,Graphite Black
ASUS ROG ZEPHYRUS G15 GA503RM 15.6 INCH WQHD 240HZ DISPLAY RYZEN 7 6800HS 16GB DDR5 RAM 1TB SSD GAMING LAPTOP WITH RTX 3060 6GB GRAPHICS,"265,000৳","185,000৳",In Stock,Asus,ASUS ROG ZEPHYRUS G15 GA503RM,2 Years,"['16GB of DDR5-4800 SO-DIMM', 'AMD Ryzen 7 6800HS Processor', '15.6-inch, 240Hz, WQHD Display ', '1TB PCIe 4.0 NVMe M.2 SSD']","Intel Core I7-1260P
Up To 4.7 GHz
Intel Turbo Boost Technology
18 MB L3 Cache
12 Cores
16 Threads","16GB DDR5-4800 SO-DIMM Memory
(Support Dual Channel Memory)",1TB PCIe 4.0 NVMe M.2 SSD,"90WHrs, 4S1P, 4-Cell Li-Ion",Windows 11 Home,Eclipse Gray
HP PROBOOK 440 G9 INTEL I5 1235U 12TH GEN 8GB RAM 512GB SSD 14 INCH FHD DISPLAY WINDOWS 11 SILVER LAPTOP (6K543PA),"90,000৳","185,000৳",In Stock,HP,ProBook 440 G9,3 Years,"['Intel i5 12th gen processor', 'Memory 8GB Ram|Storage 512GB SSD', 'WIndows 11', '14 inch Full HD Display']","Intel Core I7-1260P
Up To 4.7 GHz
Intel Turbo Boost Technology
18 MB L3 Cache
12 Cores
16 Threads","RAM- 8GB
Installed RAM Details- 1 X 8GB Removable
RAM Type- DDR4
RAM Bus (MHz)- 3200 MHz
Total RAM Slot- 2
Empty/Expansion RAM Slot- 1
Max. RAM Support- 32GB","Storage- 512GB SSD
Installed SSD Type- NVMe PCIe
Storage Upgrade- Installed SSD Can Be Upgradeable","Battery- 3 Cell
Battery Capacity- 51Wh
Backup Time- Up To 2.5 Hrs.
Power Adapter- 45W
Adapter Type- AC Adapter",WINDOWS 11 HOME,Eclipse Gray
Lenovo IdeaPad 3 14 Inch Full HD Display Ryzen 5 5500U 8GB RAM 512GB SSD Laptop,"66,000৳","63,500৳",In Stock,Lenovo,IdeaPad 3,2 Years,[],"Intel Core I7-1260P
Up To 4.7 GHz
Intel Turbo Boost Technology
18 MB L3 Cache
12 Cores
16 Threads",8GB 3200MHZ RAM ( 2 X 4GB ) (1 X 4GB Non-Removable),512GB NVMe SSD,3 Cell 45Wh Internal Battery,Freedos,Arctic Grey
LENOVO IDEAPAD Slim 3i 15IIL05 15.6 INCH FULL HD DISPLAY INTEL I3 10TH GEN 4GB RAM 256GB SSD LAPTOP (3 Years Warranty),"47,500৳","47,000৳",In Stock,Lenovo,IdeaPad Slim 3i 15IIL05,3 Years,"['15.6 Inch Full HD Display', 'Intel Core I3-1005G1', 'Intel Uhd Graphics', '4Gb Ddr4-2666']",Intel SoC Platform,4GB Soldered DDR4-2666,256GB SSD M.2 2242 PCIe 3.0x2 NVMe,Integrated 35Wh,"Windows 11 Home 64, English",Platinum Grey
Lenovo IdeaPad Slim 3i 14 Inch FHD Display Core I5 12th Gen 8GB RAM 512GB SSD Laptop,"80,500৳","78,500৳",In Stock,Lenovo,IdeaPad Slim 3i,2 Years,"['Intel Core i5-1235U processor', '8GB Soldered DDR4-3200 RAM', '512GB PCIe 4.0x4 NVMe SSD ', 'Intel Iris Xe Graphics']",Intel SoC Platform,8GB DDR4 3200MHz RAM (Expandable Upto 16GB),512GB M.2 2242 PCIe 4.0x4 NVMe SSD,"Integrated 45Wh Battery,",Windows 11 Home,Arctic Grey
Lenovo IdeaPad 1 15ADA7 15.6 Inch FHD Display Ryzen 3 3250U 8GB RAM 512GB SSD Laptop (3 Years Warranty),"55,000৳","49,000৳",In Stock,Lenovo,IdeaPad 1 15ADA7,3 Years,"['AMD Ryzen 3 3250U Processor', '15.6-inch Full HD Display', '16GB of DDR4 2400MHz RAM', '512GB SSD M.2 2280 PCIe 3.0x4 NVMe']",Intel SoC Platform,8GB DDR4 RAM,512GB SSD M.2 2280 PCIe 3.0x4 NVMe,Integrated 42Wh,Windows 11,Cloud Grey
HP 15S-DU3611TU 15.6 INCH FULL HD I3 11TH GEN 4GB RAM 1 TB HDD LAPTOP,"56,500৳","54,500৳",In Stock,HP,15s-DU3611TU,2 Years,"['Intel Core i3-1115G4 Processor ', '4GB DDR4 3200MHz SDRAM', '1TB 5400 rpm SATA HDD', '15.6"" FHD (1920 x 1080) Display']",Intel Integrated SoC,4GB DDR4 3200MHz SDRAM (Extra Ram Slot Available),1 TB HDD 5400 Rpm SATA (Extra M.2 NVMe SSD Slot Available ),"Battery Type: 3-Cell, 41 Wh Li-Ion Battery Life Mixed Usage: Up To 5 Hours And 15 Minutes Video Playback Battery Life: Up To 7 Hours And 15 Minutes",Windows 10 Home 64 Bit,Black
Acer Spin 3 SP313-51N-50XM 13.3 Inch WQXGA Multi-Touch Display Core I5 11th Gen 8GB RAM 512GB SSD 2-In-1 Laptop,"105,000৳","100,000৳",In Stock,Acer,Spin 3 SP313-51N,2 Years,"['Intel Iris Xe Graphics', 'Intel EVO Platform', 'Intel Core i5-1135G7 processor', '13.3-inch WQXGA Multi-Touch Display']",Intel Integrated SoC,8 GB Of Onboard Dual-Channel LPDDR4X System Memory 3200MHz,"512 GB, PCIe Gen3, 8 Gb/S, NVMe","4-Cell Li-Ion Battery;
56 Whr, Battery Run Time: Up To 15 Hours",Windows 10 Home,Silver
Acer Extensa 15 EX215-54-57SB 15.6 Inch Full HD Display Core I5 11th Gen 8GB RAM 256GB SSD & 1TB HDD Laptop,"68,500৳","64,500৳",In Stock,Acer,Extensa 15 EX215-54-57SB,2 Years,"['Intel Core i5-1135G7 Processor', '8GB DDR4 3200MHz RAM', '1TB SATA HDD| 256GB SSD', '15.6 FHD (1920x1080) Display']",Intel Integrated SoC,8GB 3200MHZ DDR4 RAM (Extra Ram Slot Available),"1 TB, 2.5-Inch 5400 RPM
256GB SSD",36.7 Wh 2-Cell Li-Ion Battery ( Up To 8 Hours ),Windows 11,Charcoal Black
ACER ASPIRE 5 5P-A515-58P 15.6 INCH FHD IPS DISPLAY CORE I3 13TH GEN 8GB RAM 512 GB SSD LAPTOP,"64,000৳","59,499৳",In Stock,Acer,Aspire 5 5P-A515-58P,2 Year'S,"['Processor Type. - Core i3', 'Generation - 13th (Intel)', 'Display Size (Inch) - 15.6', 'Graphics Memory - Shared']",Intel Integrated SoC,"RAM- 8GB ONBOARD
RAM Type- LPDDR5","1 TB, 2.5-Inch 5400 RPM
256GB SSD",Number Of Cells- 3 Battery Chemistry- Lithium Ion (Li-Ion) Battery Capacity- 50 Wh,Windows 11 Home,Steel Gray
LENOVO IDEAPAD SLIM 3I 15.6 INCH FHD DISPLAY INTEL CELERON N4020 4GB RAM 256GB SSD LAPTOP,"36,000৳","35,500৳",In Stock,Lenovo,IdeaPad Slim 3i,3 Year,"['Processor: Intel Celeron N4020', 'Ram: 4GB DDR4, Storage: 256GB SSD', 'Display: 15.6"" FHD (1920x1080)', 'Features: High Definition Audio, HD 720p Webcam']",Intel Integrated SoC,4GB DDR4,256GB SSD (M.2 2242 PCIe 3.0x4 NVMe SSD),"Battery Capacity: 45Wh
Adapter Type: 45W Round Tip (2-Pin, Wall-Mount)",Windows 10 Home,M. Grey
ASUS EXPERTBOOK B5 FLIP B5302FEA 13.3 INCH FULL HD TOUCH SCREEN DISPLAY CORE I5 11TH GEN 8GB RAM 512GB SSD 2 IN 1 LAPTOP,"115,000৳","113,000৳",In Stock,Asus,EXPERTBOOK B5 FLIP B5302FEA,3 Years,"['Intel Core i5-1135G7 Processor', '8GB DDR4 RAM | 512GB SSD', '13.3-inch FHD Touch Display', '360 Degree Flip ']",Intel Integrated SoC,"8G 3200MHz DDR4 Onboard,
Memory Max Up To:48GB",512GB M.2 NVMe PCIe 3.0 SSD (Extra M.2 PCIE NVME SSD Slot Available),"66WHrs, 4S1P, 4-Cell Li-Ion",DOS,Star Black
GIGABYTE GAMING G5 KE INTEL CORE I5 12500H RTX 3060 6GB GRAPHICS 16GB RAM 512GB SSD 15.6 INCH FHD 144HZ DISPLAY MATE BLACK LAPTOP,"146,000৳","133,900৳",In Stock,Gigabyte,Gaming G5 KE,2 Years,"['NVIDIA GeForce RTX 3060 GPU', '12th Gen Intel Core i5 Processor', '15.6” FHD 144Hz IPS Level Panel', 'WINDFORCE Cooling System']",Intel Integrated SoC,"RAM- 16GB
RAM Type- DDR4
RAM Bus (MHz)- 3200 MHz
Empty/Expansion RAM Slot- Unmentioned
Max. RAM Support- Extra Slot Available, Up To 64GB
Total System Memory Non-Upgradeable","Storage- 512GB SSD
Installed SSD Type- Gen 4 NVMe SSD
Storage Upgrade- Extra M.2 SLOT AVAILABLE","Battery Capacity- 54Wh
Battery Type- Li-Ion
Adapter Type- 180W",Windows 11 Home,Mate Black
Gigabyte Gaming G5 KE 15.6 FHD 144Hz Display Core I5 12th Gen 8GB RAM 512GB SSD Laptop With RTX 3060 6GB Graphics,"146,000৳","127,790৳",In Stock,Gigabyte,Gaming G5 KE,2 Years,"['NVIDIA GeForce RTX 3060 GPU', '12th Gen Intel Core i5 Processor', '15.6” FHD 144Hz IPS Level Panel', 'WINDFORCE Cooling System']",Intel Integrated SoC,"8GB DDR4 3200MHz (Extra Slot Available, Up To 64GB)",512GB Gen 4 NVMe SSD ( Extra M.2 SLOT AVAILABLE ),Lithium-Ion 54Wh,Windows 11 Home,Mate Black
Asus VivoBook 15 X1500EA 15.6 Full HD Display Core I3 11th Gen 8GB RAM 512GB SSD Laptop,"62,800৳","127,790৳",In Stock,Asus,VivoBook 15 X1500EA,2 Years,"['Intel Core i3-1115G4 Processor ', '8GB DDR4 RAM', '512GB M.2 NVMe PCIe 3.0 SSD', '15.6"" FHD LED Display']",Intel Integrated SoC,8GB DDR4 3200MHz SDRAM (Extra Ram Slot Available),512GB M.2 NVMe PCIe 3.0 SSD,"37WHrs, 2S1P, 2-Cell Li-Ion",Windows 11,Indie Black
ACER ASPIRE 3 A315-58 15.6 INCH FULL HD INTEL I3 11TH GEN 8GB RAM 256GB SSD,"52,500৳","48,500৳",In Stock,Acer,Aspire 3 A315-58,2 Years,"['Intel Core i3-1115G4', '15.6 Inch LED Display ', '8GB DDR4 RAM', '512GB PCIe G3 SSD']",Intel Integrated SoC,8GB DDR4 RAM ( 4GB ON BOARD + 4GB EXPANDABLE ),256GB M.2 PCIe G3 SSD (SATA SSD SLOT AVAILABLE ),2-Cell 36.70Wh Lithium-Ion (Li-Ion),Windows 11 HOME SINGLE LANGUAGE,Pure Silver
